chromosome	start	end	name	enhancer_activity	predicted_tissue_activity
X	136106444	136106578	HACNS_680	No	N/A
X	136372772	136373020	HACNS_466	No	N/A
X	136511718	136512075	BUSH08_62;2xHAR.213	Yes	brain;neural_tube
X	136565966	136566097	ANC1326	Yes	other
X	136667427	136667741	ANC1327	No	N/A
X	137720980	137720996	2xHAR.4	No	N/A
X	137793449	137793546	2xHAR.1	No	N/A
X	138288570	138288890	HACNS_139;2xHAR.73;BUSH08_63	Yes	brain
X	140552724	140552895	ANC1328	No	N/A
X	141131736	141132015	HACNS_833	No	N/A
X	141724202	141724328	ANC368	No	N/A
X	143707199	143707734	ANC369	No	N/A
X	143782813	143782967	ANC1329	No	N/A
X	144603873	144604062	HACNS_202	No	N/A
X	144613482	144613765	HACNS_862;2xHAR.276	No	N/A
X	147328163	147328181	2xHAR.139	No	N/A
X	147783516	147783714	2xHAR.315	No	N/A
X	148836615	148836733	ANC20	No	N/A
X	149314360	149314608	ANC1330	No	N/A
X	154998125	154998414	ANC1331	No	N/A
1	2836802	2836824	2xHAR.521	No	N/A
1	3089754	3089889	HAR98;2xHAR.305	Yes	brain
1	7310705	7310825	HACNS_512	No	N/A
1	7651264	7651536	ANC163	No	N/A
1	8060033	8060380	ANC165	No	N/A
1	10588930	10589267	ANC432	Yes	limb
1	10773091	10773533	HACNS_978	Yes	brain
1	11507933	11508064	HACNS_735	Yes	other
1	19688085	19688407	ANC74;2xHAR.234	Yes	limb
1	20713360	20713539	ANC452	Yes	brain;neural_tube
1	23761019	23761114	2xHAR.423	No	N/A
1	25887868	25887885	2xHAR.355	No	N/A
1	27309617	27309945	ANC414	No	N/A
1	30822827	30822972	ANC467	No	N/A
1	35087404	35087631	ANC158	No	N/A
1	37392819	37393061	ANC468	No	N/A
1	38445273	38445621	ANC159	No	N/A
1	38454639	38454995	ANC469	Yes	brain;heart;neural_tube
1	38687906	38688256	2xHAR.177	Yes	brain
1	43279007	43279219	ANC470	No	N/A
1	44485147	44485404	ANC471	No	N/A
1	44739747	44740177	2xHAR.492	No	N/A
1	44902152	44902427	ANC472	Yes	brain
1	45097595	45097759	ANC473	No	N/A
1	47041775	47041795	2xHAR.316	No	N/A
1	48965147	48965550	ANC474	Yes	other
1	49353755	49353972	BUSH08_1;HAR43	Yes	other
1	49481951	49482115	HACNS_236	Yes	other
1	51078130	51078331	HACNS_518	No	N/A
1	51162457	51162883	ANC475	No	N/A
1	53793546	53793584	2xHAR.169	No	N/A
1	53992519	53992568	2xHAR.236	Yes	heart;limb
1	56204189	56204491	ANC476	No	N/A
1	56789791	56789809	2xHAR.289	No	N/A
1	57647053	57647234	ANC477	No	N/A
1	57719454	57719857	ANC478	Yes	limb
1	58066513	58066615	HAR100	Yes	brain;neural_tube
1	58069320	58069593	ANC160	No	N/A
1	58124925	58125112	ANC479	No	N/A
1	58464626	58464640	2xHAR.251	No	N/A
1	61449355	61449489	BUSH08_2;HAR30;2xHAR.137	Yes	other
1	61637623	61637898	ANC480	Yes	other
1	61710908	61711108	HACNS_748	Yes	brain
1	61762704	61763185	ANC161	No	N/A
1	61989781	61990098	ANC481	Yes	limb
1	63464549	63465539	ANC162	Yes	other
1	63553532	63553789	HACNS_635	Yes	brain;neural_tube
1	64254385	64254693	ANC482	Yes	brain
1	64590698	64591196	HACNS_354	No	N/A
1	65015854	65016150	HACNS_737	Yes	limb
1	65543192	65543318	ANC483	No	N/A
1	70080277	70080410	HACNS_143	No	N/A
1	71662614	71663043	ANC484	No	N/A
1	72253981	72254260	ANC485	Yes	limb
1	72879558	72879884	ANC486	No	N/A
1	74361724	74361861	2xHAR.160	No	N/A
1	74534555	74534670	ANC487	No	N/A
1	75160269	75160478	ANC488	No	N/A
1	75376973	75377151	HACNS_932	No	N/A
1	76605840	76605861	2xHAR.495	No	N/A
1	79486285	79486624	ANC164	No	N/A
1	79757839	79757959	2xHAR.110	No	N/A
1	80919103	80919231	ANC489	No	N/A
1	81283699	81283902	HACNS_483	No	N/A
1	81373873	81373993	HACNS_543	No	N/A
1	81494086	81494421	HACNS_703	No	N/A
1	81623752	81623890	2xHAR.212	Yes	limb
1	81669024	81669153	ANC490	No	N/A
1	82064452	82064819	HACNS_571	No	N/A
1	82497621	82497755	BUSH08_3;ANC76;2xHAR.25	Yes	other
1	83220917	83221206	2xHAR.59	No	N/A
1	83230989	83231018	2xHAR.558	No	N/A
1	83231086	83231270	ANC491	No	N/A
1	83451695	83451955	ANC166	No	N/A
1	83871362	83871911	ANC77	No	N/A
1	83969385	83969759	ANC167	No	N/A
1	84211470	84211971	ANC492	No	N/A
1	87835463	87835856	ANC168	Yes	brain
1	88075879	88076121	HACNS_51	No	N/A
1	88285958	88286718	ANC37;HACNS_893	Yes	other
1	88393079	88393389	HACNS_572	Yes	other
1	88536746	88536889	HAR164	Yes	other
1	88615792	88616583	2xHAR.97	Yes	other
1	88624258	88624624	ANC493	No	N/A
1	88645430	88645630	HAR107	No	N/A
1	88927378	88928363	ANC494	Yes	brain;limb;neural_tube
1	88952731	88952922	HACNS_41;2xHAR.457	No	N/A
1	91286398	91286754	ANC495	Yes	other
1	95732748	95732962	ANC496	No	N/A
1	95746874	95747329	HACNS_297;ANC497	No	N/A
1	95806901	95807307	BUSH08_4	No	N/A
1	96399440	96399879	ANC498	No	N/A
1	96960769	96961029	ANC499	No	N/A
1	97391566	97392094	HACNS_624	No	N/A
1	97463381	97463624	ANC169	Yes	brain
1	98623229	98623400	HACNS_537	Yes	limb
1	101490453	101490621	ANC430	No	N/A
1	101620918	101621057	HACNS_107;ANC431	Yes	brain
1	102133323	102133549	HACNS_662	No	N/A
1	102540132	102540261	ANC148	No	N/A
1	104820733	104820841	HAR54	No	N/A
1	105537114	105537278	ANC433	No	N/A
1	106895326	106895640	HACNS_824	No	N/A
1	107219174	107219474	ANC386	Yes	limb
1	116369228	116369338	HAR130	Yes	brain
1	116854478	116854683	HACNS_9;ANC149	Yes	limb
1	119279491	119279507	2xHAR.151	No	N/A
1	119675658	119675931	ANC150	No	N/A
1	120139471	120139726	ANC434	No	N/A
1	144340516	144340754	ANC435	No	N/A
1	144520764	144521012	ANC34	No	N/A
1	146126727	146127077	ANC151	No	N/A
1	146136363	146136465	ANC436	No	N/A
1	146139587	146139754	ANC35	No	N/A
1	146149884	146150231	ANC71	No	N/A
1	146150270	146150718	ANC2	No	N/A
1	146512854	146513020	ANC72	No	N/A
1	147691716	147692063	ANC73	No	N/A
1	147692102	147692550	ANC3	No	N/A
1	149576471	149576706	ANC437	No	N/A
1	157694098	157694333	ANC36	No	N/A
1	158145111	158145257	ANC438	No	N/A
1	163207616	163207928	ANC439	No	N/A
1	163534095	163534315	HACNS_29	Yes	brain
1	164350238	164350495	ANC152;BUSH08_5;HAR66	Yes	limb
1	164533165	164533283	HAR155	No	N/A
1	170612084	170612280	ANC440	No	N/A
1	170717505	170717867	ANC441	No	N/A
1	172193556	172193835	ANC442	No	N/A
1	175535112	175535518	HACNS_162	No	N/A
1	175704682	175704908	ANC153;HACNS_87	No	N/A
1	175722739	175722898	ANC443	No	N/A
1	177009234	177009502	HACNS_243;ANC444	Yes	other
1	177087437	177087640	HACNS_296;ANC445	No	N/A
1	177332795	177333000	HAR74;2xHAR.309	No	N/A
1	177580823	177581149	ANC446	No	N/A
1	177864916	177865481	HACNS_702	No	N/A
1	178363595	178363891	ANC447	No	N/A
1	181777911	181778155	HACNS_568	No	N/A
1	188602203	188602416	HACNS_608	No	N/A
1	192111617	192111727	ANC448	No	N/A
1	193932444	193932554	HAR150	No	N/A
1	194534287	194534501	HACNS_380	No	N/A
1	195873029	195873226	ANC449	No	N/A
1	200284035	200284638	ANC450	Yes	limb
1	202664608	202664793	ANC451	No	N/A
1	204233370	204233409	2xHAR.285	Yes	heart;neural_tube
1	204591529	204591699	HACNS_49	No	N/A
1	204900579	204900750	HACNS_185	No	N/A
1	208608185	208608637	2xHAR.408;HACNS_887	Yes	other
1	208941241	208941707	ANC154	No	N/A
1	209734795	209735123	HACNS_946	No	N/A
1	210436018	210436248	ANC453	Yes	limb
1	212253113	212253453	ANC454	No	N/A
1	213759461	213759974	ANC455	Yes	other
1	214102710	214102882	HACNS_878	Yes	other
1	214202295	214202547	ANC456	Yes	brain;neural_tube
1	215846403	215846591	HACNS_425	No	N/A
1	216356754	216357348	ANC155;HACNS_798	Yes	brain;limb;neural_tube
1	216885960	216886546	ANC457	No	N/A
1	217138105	217138347	HAR177	No	N/A
1	217227958	217228105	ANC458	Yes	other
1	217633637	217633841	ANC459	No	N/A
1	217944112	217944690	HACNS_194;HAR71	No	N/A
1	218024622	218024798	BUSH08_6	No	N/A
1	218030542	218030819	ANC460	Yes	brain
1	218392866	218393180	ANC461	No	N/A
1	218428301	218428846	ANC462;HAR158	Yes	brain
1	224898815	224898858	2xHAR.7	No	N/A
1	228288030	228288336	ANC75	No	N/A
1	228636832	228637153	ANC156	No	N/A
1	231674967	231675300	ANC463	No	N/A
1	234162231	234162343	ANC157	No	N/A
1	237207751	237207919	HACNS_383	Yes	brain;neural_tube
1	243216422	243216810	ANC464	No	N/A
1	243364665	243364776	ANC465	No	N/A
1	243502411	243502466	2xHAR.43	No	N/A
1	243639588	243639662	2xHAR.274	No	N/A
1	245320617	245320734	HACNS_443	Yes	brain;heart;neural_tube
1	245389034	245389269	HACNS_287	Yes	limb;neural_tube
1	247348197	247348325	ANC466	No	N/A
2	2593308	2593497	ANC893	No	N/A
2	6485395	6485718	ANC254	Yes	neural_tube
2	6704433	6704810	ANC907	Yes	other
2	7464877	7465126	ANC910	Yes	brain
2	8012025	8012161	HACNS_811	No	N/A
2	11242506	11242669	ANC825	No	N/A
2	11531931	11531952	2xHAR.183	Yes	heart;limb
2	12061151	12061457	HACNS_373	Yes	brain
2	12538254	12538438	HACNS_468	Yes	other
2	14837416	14837799	ANC846	No	N/A
2	16196096	16196135	2xHAR.417	No	N/A
2	16224877	16225057	HACNS_133	No	N/A
2	19661653	19661796	HAR63	Yes	limb
2	20698159	20698282	ANC867	No	N/A
2	21475216	21475777	ANC419;2xHAR.39;HACNS_221	No	N/A
2	21676287	21676679	HACNS_791	Yes	brain
2	21676684	21676953	HACNS_137	No	N/A
2	21721039	21721345	HACNS_407;ANC878	No	N/A
2	21741640	21741777	ANC879	No	N/A
2	21742295	21742526	HACNS_85;2xHAR.319;BUSH08_31	No	N/A
2	21873202	21873467	2xHAR.542	Yes	other
2	21882002	21882324	HACNS_873	Yes	limb
2	21981021	21981342	HACNS_744	Yes	other
2	22181799	22181901	2xHAR.41	No	N/A
2	22552419	22552710	ANC887	Yes	brain
2	22657837	22657908	2xHAR.155	No	N/A
2	22822548	22822789	ANC888	Yes	brain
2	22886044	22886184	ANC889	No	N/A
2	23125049	23125329	ANC890;HACNS_401;HAR103	No	N/A
2	23216030	23216055	2xHAR.515	No	N/A
2	23555047	23555340	HACNS_26	No	N/A
2	23637713	23637838	ANC891	Yes	neural_tube
2	23831324	23831814	ANC892	No	N/A
2	25303790	25304198	ANC51	No	N/A
2	26032794	26033230	ANC894	No	N/A
2	30087740	30087935	HACNS_250	No	N/A
2	30704858	30705164	ANC895	Yes	other
2	31298474	31298518	2xHAR.334	No	N/A
2	33930033	33930349	HACNS_398;BUSH08_32	Yes	brain
2	34609951	34610173	HACNS_592	No	N/A
2	34792309	34792506	HACNS_94	No	N/A
2	35732358	35732567	ANC251	No	N/A
2	36137582	36137740	2xHAR.454	No	N/A
2	36566967	36567298	ANC896	Yes	limb
2	36616426	36616665	ANC897	Yes	limb
2	36752990	36753338	ANC898	No	N/A
2	38260969	38261148	ANC899	No	N/A
2	39836618	39836722	ANC900	Yes	brain;neural_tube
2	41010944	41011125	ANC901	No	N/A
2	41311542	41311562	2xHAR.265	No	N/A
2	44252259	44252551	HACNS_163	No	N/A
2	44707105	44707276	HACNS_171	Yes	brain
2	44720746	44721389	ANC902	No	N/A
2	44944607	44944914	ANC252;2xHAR.391	No	N/A
2	45560690	45560886	HACNS_282	Yes	other
2	49444182	49444358	HACNS_293	No	N/A
2	49465128	49465595	2xHAR.411	Yes	other
2	49583403	49583679	HACNS_412	No	N/A
2	49611237	49611357	HACNS_263	No	N/A
2	50281694	50282858	ANC399	No	N/A
2	52797784	52797971	ANC253	No	N/A
2	56490098	56490296	HACNS_371	No	N/A
2	57981821	57982131	BUSH08_33	No	N/A
2	58282128	58282836	ANC903	No	N/A
2	58591103	58591452	2xHAR.338;ANC904	No	N/A
2	59179055	59179889	HACNS_851;HAR122	Yes	other
2	59517950	59518414	ANC905	No	N/A
2	59887112	59887472	HACNS_102;ANC906	No	N/A
2	60175450	60175520	2xHAR.451	No	N/A
2	60516614	60516875	2xHAR.427;HAR180	No	N/A
2	66759651	66759872	HACNS_855	Yes	limb
2	66913816	66914219	HACNS_630;2xHAR.49	Yes	limb
2	66927809	66927951	ANC255	Yes	brain;neural_tube
2	67153608	67153996	HACNS_925	No	N/A
2	67448415	67448430	2xHAR.303	No	N/A
2	68069816	68070029	ANC908	Yes	other
2	71923818	71924074	HACNS_989;ANC909	No	N/A
2	72077011	72077260	HACNS_711	Yes	limb
2	76508173	76508319	HACNS_509	Yes	brain
2	76782906	76783459	HACNS_938	No	N/A
2	77829326	77829624	HACNS_800	No	N/A
2	78801380	78801594	HACNS_582	No	N/A
2	80187599	80187667	BUSH08_34	No	N/A
2	80318402	80318560	ANC911;HACNS_166	Yes	other
2	80802697	80803027	HACNS_92;ANC142	No	N/A
2	80842761	80842923	ANC912	No	N/A
2	80865761	80866001	ANC913	No	N/A
2	80905307	80905508	HACNS_560	No	N/A
2	81088698	81088714	2xHAR.217	No	N/A
2	81424515	81424677	ANC914	No	N/A
2	83390323	83390530	HACNS_391	No	N/A
2	84257670	84257796	ANC915	No	N/A
2	86695339	86695551	ANC256	No	N/A
2	87373616	87373759	ANC916	No	N/A
2	87865326	87866345	ANC32	No	N/A
2	88189830	88190129	ANC427	No	N/A
2	92252217	92252528	ANC99	No	N/A
2	100658011	100658202	HACNS_434	Yes	brain
2	100765546	100765724	HACNS_806	No	N/A
2	103467243	103467418	HACNS_431;ANC817	No	N/A
2	103851799	103851933	HACNS_393	No	N/A
2	104823970	104824544	HACNS_374	No	N/A
2	105031263	105031550	HACNS_359;ANC818	Yes	brain
2	105158357	105158695	HACNS_669	No	N/A
2	105561548	105561747	ANC236	Yes	brain;neural_tube
2	105879181	105879521	HACNS_683;ANC819	Yes	other
2	107768398	107768549	ANC820	No	N/A
2	109040187	109040349	ANC821	No	N/A
2	110622266	110622503	ANC822	No	N/A
2	111264156	111264394	ANC823	No	N/A
2	111616307	111616489	HACNS_985	Yes	neural_tube
2	112141310	112141511	ANC824	No	N/A
2	112141904	112142571	ANC382	No	N/A
2	113992949	113993240	2xHAR.10	No	N/A
2	114489154	114489227	2xHAR.45	No	N/A
2	114959690	114959873	ANC826	No	N/A
2	116474381	116474511	HACNS_76	No	N/A
2	116606460	116606782	HACNS_122	No	N/A
2	117484055	117484292	ANC827	No	N/A
2	117524368	117524391	2xHAR.248	No	N/A
2	118809562	118809721	HAR36	Yes	other
2	119067158	119067769	HACNS_56;2xHAR.20;HAR80;HAR19	Yes	neural_tube
2	121730653	121730762	ANC828	No	N/A
2	121832783	121833140	BUSH08_35;HACNS_4;2xHAR.238	Yes	brain;heart;limb
2	124313006	124313291	ANC829	No	N/A
2	124653209	124653514	ANC830	No	N/A
2	126292758	126292859	HACNS_815	No	N/A
2	126375801	126376044	ANC237	No	N/A
2	129715169	129715320	ANC831	No	N/A
2	132680938	132681047	ANC426	No	N/A
2	133346893	133347089	HACNS_95;ANC238;2xHAR.164	Yes	brain;neural_tube
2	133878130	133878262	ANC832	No	N/A
2	137386811	137387013	HACNS_885	No	N/A
2	137747941	137748233	HACNS_842	No	N/A
2	137917312	137917468	HACNS_453	No	N/A
2	138669878	138670341	ANC137	No	N/A
2	142547742	142547792	2xHAR.119	No	N/A
2	142764731	142764833	ANC833	No	N/A
2	143026034	143026303	ANC834	No	N/A
2	143475857	143476078	HACNS_259	Yes	other
2	143612183	143612528	ANC835	No	N/A
2	143682548	143682905	ANC836	No	N/A
2	144050260	144050505	ANC239	No	N/A
2	144289674	144290024	BUSH08_36	No	N/A
2	144332930	144333477	ANC837	No	N/A
2	144581548	144581672	HAR165	Yes	limb
2	144617839	144618263	ANC838	No	N/A
2	144713303	144713509	HAR157	Yes	limb
2	144754666	144755630	ANC240	No	N/A
2	145144655	145145074	ANC839	No	N/A
2	145157992	145158325	2xHAR.381	No	N/A
2	145234574	145235151	ANC94;HACNS_631;HAR194;2xHAR.240	Yes	limb
2	145272257	145272274	2xHAR.356	Yes	brain
2	145785838	145786411	ANC840	No	N/A
2	145868685	145868772	2xHAR.34	No	N/A
2	145978042	145978795	ANC841	Yes	brain
2	146257878	146258333	ANC842	No	N/A
2	146487443	146487751	ANC843	Yes	other
2	146632033	146632363	ANC844	Yes	limb
2	147023162	147023427	HAR65	No	N/A
2	147349460	147349875	HAR16	No	N/A
2	147382134	147382766	ANC241	Yes	other
2	147955812	147956576	ANC845	Yes	brain;neural_tube
2	148222413	148222624	ANC847;HACNS_400	Yes	other
2	152208554	152208813	ANC242	No	N/A
2	153981817	153982021	HACNS_915	No	N/A
2	155212331	155212354	2xHAR.404	No	N/A
2	156583117	156583325	HAR178	Yes	brain;neural_tube
2	156619267	156619286	2xHAR.290	No	N/A
2	157012772	157013338	ANC848	No	N/A
2	157241478	157241500	2xHAR.390	No	N/A
2	157463612	157463993	ANC849	No	N/A
2	157839985	157840157	HAR37	No	N/A
2	158641915	158642082	HACNS_238	Yes	other
2	160006471	160006503	2xHAR.539	No	N/A
2	162105310	162105325	2xHAR.342	No	N/A
2	162286139	162286320	HACNS_500	Yes	other
2	162298583	162298940	ANC850;HACNS_106	No	N/A
2	163563344	163563492	HACNS_983	No	N/A
2	164166942	164167001	2xHAR.239	No	N/A
2	164178487	164179046	ANC851	No	N/A
2	164254736	164255195	ANC95	Yes	other
2	164410054	164410373	ANC852	Yes	limb
2	164616320	164616693	ANC853	No	N/A
2	164972651	164973088	ANC854	No	N/A
2	166350715	166350815	HAR115	No	N/A
2	167977940	167978231	HACNS_718	No	N/A
2	171002630	171002854	HACNS_484	Yes	limb
2	171679517	171679721	HACNS_57;ANC855	Yes	brain;heart;neural_tube
2	171737418	171737687	ANC856	No	N/A
2	172201674	172202019	ANC857	No	N/A
2	172430319	172430657	HACNS_454	Yes	other
2	172977975	172977988	2xHAR.148	No	N/A
2	173251452	173251695	HACNS_747	No	N/A
2	174524179	174524435	ANC858	No	N/A
2	174973161	174973869	ANC243	No	N/A
2	176433901	176434093	HACNS_719	Yes	other
2	176435822	176436229	HACNS_84	Yes	other
2	176530702	176530828	HACNS_441	No	N/A
2	176765342	176765484	BUSH08_37	No	N/A
2	176943110	176943744	ANC859	No	N/A
2	176990517	176990644	2xHAR.412	Yes	other
2	177683196	177683218	2xHAR.12	Yes	brain
2	177716143	177716304	HAR169	Yes	other
2	177744441	177744743	2xHAR.71;HAR13;ANC244	Yes	other
2	178094013	178094226	ANC860	No	N/A
2	178845408	178845433	2xHAR.281	No	N/A
2	179668967	179669146	HACNS_408	No	N/A
2	181186468	181186808	HACNS_760	No	N/A
2	181324625	181324898	HACNS_34	No	N/A
2	181325445	181325674	HACNS_664	No	N/A
2	181711686	181711805	HAR179	No	N/A
2	182333573	182333875	ANC861	Yes	other
2	182699938	182699996	2xHAR.61	No	N/A
2	184009371	184009756	ANC862	No	N/A
2	184419136	184419335	HACNS_848	No	N/A
2	186588992	186589234	HACNS_170	No	N/A
2	187399182	187399317	ANC863	No	N/A
2	190306204	190306231	2xHAR.348	No	N/A
2	190767096	190767134	2xHAR.533	No	N/A
2	192723807	192723925	2xHAR.158	No	N/A
2	192742612	192742818	HACNS_823	Yes	limb
2	192783219	192783254	2xHAR.382	Yes	limb
2	193321376	193321961	ANC245	No	N/A
2	195871722	195871960	ANC864	No	N/A
2	197742179	197742405	ANC246	No	N/A
2	199183373	199183662	ANC865	No	N/A
2	199951905	199952123	ANC247	No	N/A
2	200488473	200488917	ANC96	No	N/A
2	201038051	201038500	HACNS_686	No	N/A
2	202987965	202988205	HACNS_135	Yes	brain
2	204946974	204947139	2xHAR.435	Yes	brain
2	205129752	205129895	2xHAR.313	Yes	brain
2	205235322	205235344	2xHAR.459	Yes	other
2	205625125	205625332	ANC866	No	N/A
2	205785372	205785509	HAR123	Yes	other
2	205977305	205977433	ANC248	No	N/A
2	206000675	206000857	HACNS_325	No	N/A
2	206027922	206027940	2xHAR.40	No	N/A
2	206146719	206146744	2xHAR.150	No	N/A
2	206291623	206291833	HACNS_460	No	N/A
2	206536851	206537127	HACNS_265	No	N/A
2	206757041	206757161	HAR154	Yes	limb;neural_tube
2	206867685	206867848	ANC868	No	N/A
2	207509006	207509337	ANC869	No	N/A
2	207710459	207710766	ANC870	No	N/A
2	208297115	208297758	HACNS_91;2xHAR.115	Yes	limb
2	208972996	208973133	ANC871	No	N/A
2	212015016	212015200	ANC872	No	N/A
2	212103243	212103422	HACNS_977	No	N/A
2	212399208	212399809	ANC97	Yes	brain;neural_tube
2	212773117	212773496	HACNS_183;ANC873	No	N/A
2	212936314	212936503	ANC874	No	N/A
2	212973922	212974152	HACNS_505;ANC875	No	N/A
2	213057445	213057853	ANC876	No	N/A
2	213080564	213080806	HAR84	No	N/A
2	213187289	213187570	ANC98	No	N/A
2	213934108	213934497	HACNS_585	Yes	other
2	215453182	215453284	2xHAR.526	No	N/A
2	215453325	215453543	HACNS_743	No	N/A
2	215484554	215484637	2xHAR.197	No	N/A
2	215764795	215765213	ANC877	No	N/A
2	217047820	217047838	2xHAR.246	No	N/A
2	217501520	217501623	ANC880	Yes	heart;limb;neural_tube
2	217728731	217728904	HACNS_825	No	N/A
2	219933896	219934115	HACNS_280	No	N/A
2	220263666	220263897	ANC881	No	N/A
2	220289006	220289313	ANC882;HACNS_118	No	N/A
2	220728202	220728252	2xHAR.51	No	N/A
2	221345433	221345606	HACNS_935	No	N/A
2	221382197	221382405	HACNS_88	No	N/A
2	222048756	222048918	HACNS_201	No	N/A
2	222218795	222219029	ANC883	No	N/A
2	222241920	222242265	ANC249	No	N/A
2	222556948	222557352	HACNS_628	No	N/A
2	222791098	222791312	HACNS_697;ANC884	No	N/A
2	222909209	222909716	ANC398	No	N/A
2	222926589	222926976	ANC885	Yes	other
2	223040193	223040689	ANC886	No	N/A
2	226043489	226043718	ANC250	No	N/A
2	226361662	226361929	HACNS_89	No	N/A
2	227362042	227362211	HACNS_856	No	N/A
2	230138115	230138367	HACNS_363	Yes	other
2	236773663	236774209	HACNS_1;2xHAR.3;HAR2;ANC6;BUSH08_38	Yes	limb;neural_tube
2	237089355	237089520	HACNS_457	Yes	brain;neural_tube
2	237776689	237776707	2xHAR.409	No	N/A
3	63277	63589	ANC144	No	N/A
3	563108	563396	HACNS_326	No	N/A
3	582064	582406	HACNS_273	Yes	other
3	609533	609805	HAR112	No	N/A
3	615847	616023	ANC993	No	N/A
3	683637	683894	HACNS_2	No	N/A
3	764672	764966	ANC1006	No	N/A
3	817551	817756	ANC1009	No	N/A
3	1007929	1008395	HACNS_877;ANC282;2xHAR.282	No	N/A
3	1273598	1273785	ANC962	No	N/A
3	1677069	1677467	HACNS_421	No	N/A
3	1711231	1711537	ANC400;HACNS_394	No	N/A
3	2137725	2138157	HACNS_451	Yes	brain
3	2310818	2311051	HACNS_888	No	N/A
3	2417345	2417505	BUSH08_42	No	N/A
3	2681614	2681842	ANC987	No	N/A
3	2783398	2783633	HACNS_589	Yes	other
3	3653723	3653795	2xHAR.523	No	N/A
3	4774769	4774910	2xHAR.63;HAR38	No	N/A
3	4790328	4790561	HACNS_611	No	N/A
3	5313959	5314200	ANC271	No	N/A
3	5467965	5468145	HACNS_607	Yes	brain
3	6062063	6062081	2xHAR.468	Yes	other
3	6907090	6907107	2xHAR.241	No	N/A
3	13276264	13276381	HACNS_482	Yes	other
3	15182881	15183579	ANC103	No	N/A
3	15563357	15563542	2xHAR.269;HACNS_810	Yes	brain
3	16926551	16926622	2xHAR.335	No	N/A
3	16926641	16926755	HAR140	No	N/A
3	18537891	18537967	BUSH08_43	No	N/A
3	19007900	19008059	HACNS_706	No	N/A
3	20420312	20420541	ANC986	No	N/A
3	21801560	21801901	ANC420	No	N/A
3	23150284	23150350	2xHAR.373	No	N/A
